date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:00	41853/41853	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202025%2022:27:59%20GMT	https://www.premier-stores.co.uk/	www.premier-stores.co.uk/index.html	(from )
22:28:00	2027/2027	---M--	200	added ('OK')	text/plain	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/robots.txt		(from )
22:28:00	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/favicon.ico	www.premier-stores.co.uk/themes/custom/premierconsumer/favicon.ico	(from https://www.premier-stores.co.uk/)
22:28:01	19650/19650	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2011:14:26%20GMT	https://www.premier-stores.co.uk/sites/default/files/css/css_XHrtCG3VWnSimyC46F384y4FS4lMgbgxjJMnIXV0Vxs.css?delta=0&language=en&theme=premierconsumer&include=eJxlzEEKgDAMBdELVXskqfqRSNJo0ii9veBKcDPwNuPdGyTPxZEOgxBs0eohsLyxzoUHb52pbuki3J7fjqJrMNJ-BqxPQVOJpovKwWjIX_yupr2wM62wB07-Ml4	www.premier-stores.co.uk/sites/default/files/css/css_XHrtCG3VWnSimyC46F384y4FS4lMgbgxjJMnIXV0Vxs593c.css	(from https://www.premier-stores.co.uk/)
22:28:02	116773/116773	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2011:14:35%20GMT	https://www.premier-stores.co.uk/sites/default/files/css/css_uHv_Wi6_QcqGW0tDKKyjQWuOLYn6j6bIxgZA0WFCssE.css?delta=1&language=en&theme=premierconsumer&include=eJxlzEEKgDAMBdELVXskqfqRSNJo0ii9veBKcDPwNuPdGyTPxZEOgxBs0eohsLyxzoUHb52pbuki3J7fjqJrMNJ-BqxPQVOJpovKwWjIX_yupr2wM62wB07-Ml4	www.premier-stores.co.uk/sites/default/files/css/css_uHv_Wi6_QcqGW0tDKKyjQWuOLYn6j6bIxgZA0WFCssEd5e5.css	(from https://www.premier-stores.co.uk/)
22:28:03	1904/1904	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-57x57.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-57x57.png	(from https://www.premier-stores.co.uk/)
22:28:04	1912/1912	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-60x60.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-60x60.png	(from https://www.premier-stores.co.uk/)
22:28:05	2156/2156	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-72x72.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-72x72.png	(from https://www.premier-stores.co.uk/)
22:28:06	2745/2745	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-76x76.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-76x76.png	(from https://www.premier-stores.co.uk/)
22:28:07	3857/3857	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-114x114.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-114x114.png	(from https://www.premier-stores.co.uk/)
22:28:08	4134/4134	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-120x120.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-120x120.png	(from https://www.premier-stores.co.uk/)
22:28:09	5365/5365	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-144x144.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-144x144.png	(from https://www.premier-stores.co.uk/)
22:28:10	5724/5724	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-152x152.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-152x152.png	(from https://www.premier-stores.co.uk/)
22:28:11	7259/7259	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-180x180.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/apple-icon-180x180.png	(from https://www.premier-stores.co.uk/)
22:28:12	7191/7191	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/android-icon-192x192.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/android-icon-192x192.png	(from https://www.premier-stores.co.uk/)
22:28:13	1437/1437	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/favicon-32x32.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/favicon-32x32.png	(from https://www.premier-stores.co.uk/)
22:28:14	3268/3268	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/favicon-96x96.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/favicon-96x96.png	(from https://www.premier-stores.co.uk/)
22:28:15	1147/1147	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/favicon-16x16.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/favicon-16x16.png	(from https://www.premier-stores.co.uk/)
22:28:16	720/720	---M--	200	added ('OK')	application/json	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/manifest.json	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/manifest.json	(from https://www.premier-stores.co.uk/)
22:28:17	5365/5365	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/ms-icon-144x144.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/favicons/ms-icon-144x144.png	(from https://www.premier-stores.co.uk/)
22:28:18	650/650	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/js/mtiFontTrackingCode.js	www.premier-stores.co.uk/themes/custom/premierconsumer/js/mtiFontTrackingCode.js	(from https://www.premier-stores.co.uk/)
22:28:19	7055/7055	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Feb%202024%2012:02:22%20GMT	https://www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/premierLogo.png	www.premier-stores.co.uk/themes/custom/premierconsumer/images/ui/premierLogo.png	(from https://www.premier-stores.co.uk/)
